uid,spotify_id,name,artist,year,decade,popularity,explicit,energy,valence,danceability,acousticness,instrumentalness,speechiness,mds_x,mds_y,target_score
3lWtpc2gKflv5xG7qGVA9l,3lWtpc2gKflv5xG7qGVA9l,I Can't Give You Anything But Love,Harry Curtis,1923,1920,0.0,0,0.516,0.779,0.733,0.8590000000000001,0.0,0.0475,-0.1234909892994941,0.38501646543341234,1.5934356663684666
0xOgGPN7fDszF6wLpPBE6r,0xOgGPN7fDszF6wLpPBE6r,"Deep Down South (From ""Pardon My Gun"")","Bix Beiderbecke And His Orchestra, Bix Beiderbecke",1924,1920,1.0,0,0.448,0.753,0.565,0.922,0.0434,0.0554,-0.24905669046213577,0.34521877893845937,1.2957325920401839
657I3AxRiZoTkP41zopM10,657I3AxRiZoTkP41zopM10,Alligator Crawl,Louis Armstrong & His Hot Seven,1926,1920,5.0,0,0.136,0.552,0.698,0.992,0.726,0.136,-0.7257215073270934,-0.12787656980577766,0.8614342185302838
2DTL1nQAVTK7YDRMeyFYb3,2DTL1nQAVTK7YDRMeyFYb3,Trucking Little Woman,Big Bill Broonzy,1930,1930,11.0,0,0.433,0.929,0.624,0.991,0.0128,0.29100000000000004,-0.24773914989763543,0.4898748392892847,1.4210889875290638
0qBk29LwwpIkK4yBwyOoGP,0qBk29LwwpIkK4yBwyOoGP,I cadetti di Guascogna,Clara Jaione,1932,1930,0.0,0,0.483,0.778,0.684,0.974,0.000785,0.061,-0.2333850984307366,0.4241261543598362,1.448630219529984
0v73V7VuLgopjjCQJOoiwr,0v73V7VuLgopjjCQJOoiwr,Vito Dumas Habla al Pueblo de Su Patria - Remasterizado,"Francisco Canaro, Agustín Irusta",1932,1930,0.0,0,0.4,0.496,0.621,0.735,0.0,0.414,-0.15600793964192186,0.3153544567068697,1.0488655755791645
59KkICr2P3gksRXtukBrIX,59KkICr2P3gksRXtukBrIX,Am I Blue? - Take 2,Billie Holiday,1933,1930,21.0,0,0.0718,0.267,0.456,0.98,4.8e-05,0.0314,-0.5802239750331306,0.33578309314356536,0.30027780654736314
78oBchuD7PPPpXFfLaWXxG,78oBchuD7PPPpXFfLaWXxG,Spreadin' Rhythm Around (with Teddy Wilson & His Orchestra),"Billie Holiday, Teddy Wilson",1933,1930,15.0,0,0.42,0.945,0.7609999999999999,0.958,0.0375,0.122,-0.21875572963845452,0.4740194456652734,1.622875921231568
6dlLHilqWyUsVq4vMGa1GO,6dlLHilqWyUsVq4vMGa1GO,On the Sentimental Side - Take 1,Billie Holiday,1933,1930,10.0,0,0.132,0.494,0.648,0.911,0.0,0.0426,-0.4237935976531712,0.4019095374093857,0.8135617466317543
0yGz35gJAvlXO3MTB7Undz,0yGz35gJAvlXO3MTB7Undz,Part.3 (From En Crète sans les dieux) (1934),Maurice Jaubert,1934,1930,0.0,0,0.569,0.487,0.438,0.8590000000000001,0.879,0.0574,-0.5193884523543886,-0.49379635669930827,1.053301124025297
6ssyGeJUY9grIGFixiQ0m6,6ssyGeJUY9grIGFixiQ0m6,They Can't Take That Away from Me - Live,"Billie Holiday, Count Basie",1937,1930,4.0,0,0.299,0.62,0.505,0.961,0.0007379999999999999,0.0354,-0.3730590000670045,0.3791293929117202,0.9385801730231583
6EBFq9aN6HbeLgrV7wfHus,6EBFq9aN6HbeLgrV7wfHus,Honeysuckle Rose - Live,Benny Goodman,1938,1930,11.0,0,0.387,0.385,0.611,0.423,0.8420000000000001,0.0785,-0.2644922197720649,-0.560269617345436,1.157839696278331
5Xiw2bnTWTQkToU2FkjaVO,5Xiw2bnTWTQkToU2FkjaVO,You're Gonna See a Lot of Me (with Teddy Wilson & His Orchestra) - Take 1,"Billie Holiday, Teddy Wilson",1938,1930,4.0,0,0.196,0.354,0.703,0.98,1.73e-05,0.0548,-0.46564352713106494,0.3866584970448281,0.7554468787123115
0lU0eFIggcIiEO9QpUZwlQ,0lU0eFIggcIiEO9QpUZwlQ,The Flaming Sword,"Duke Ellington, Duke Ellington Orchestra",1940,1940,6.0,0,0.618,0.371,0.608,0.6940000000000001,0.307,0.13699999999999998,-0.16234827615782665,-0.07796135415705928,1.2206817627369109
083KXXRYyo2xPxzuJWpV5n,083KXXRYyo2xPxzuJWpV5n,The World Is Mad Pt. 2 - 78rpm Version,Count Basie,1940,1940,3.0,0,0.295,0.509,0.608,0.96,0.412,0.0568,-0.5322410831122293,0.03750140566261412,0.92281772928351
6MwOMl2SAgbprDTm6Ijdty,6MwOMl2SAgbprDTm6Ijdty,I See A Million People (But All I Can See Is You),Peggy Lee,1941,1940,13.0,0,0.145,0.464,0.6759999999999999,0.973,0.0019,0.042,-0.46710020279627973,0.41730274517170834,0.793931968786704
0NJUPykv8K6VxgZmTYZLY4,0NJUPykv8K6VxgZmTYZLY4,Resta cu' mme - Instrument and base Version,Orchestra Studio 7,1942,1940,0.0,0,0.29,0.27,0.6709999999999999,0.175,0.7490000000000001,0.0304,-0.10858008682124289,-0.5722945663762431,1.1434633404019683
4QUcXc1zhJighgGCVZKOpc,4QUcXc1zhJighgGCVZKOpc,"Mazurkas, Op. 30: No. 3 in D-Flat Major","Frédéric Chopin, Arthur Rubinstein",1946,1940,4.0,0,0.0675,0.0955,0.36,0.994,0.915,0.0474,-0.9746166912231159,-0.47570867635244646,0.016159990854523777
5PaS1OgxdTDLO8Zr59aTuS,5PaS1OgxdTDLO8Zr59aTuS,"I Could Have Danced All Night (from ""My Fair Lady"") - From ""My Fair Lady""",Julie Andrews,1947,1940,5.0,0,0.287,0.402,0.324,0.828,4.21e-06,0.0437,-0.3497200691306104,0.2370523894154266,0.5900096854717171
2QfibkDAUFnSjh69mXkrS6,2QfibkDAUFnSjh69mXkrS6,If This Isn't Love,"Ella Logan, Donald Richards, The Lyn Murray Singers",1947,1940,2.0,0,0.239,0.667,0.5720000000000001,0.966,0.0,0.0482,-0.3866223028758797,0.42564593574231346,0.987584928972537
5v8Ni83qMPCsfXqhGDo88Q,5v8Ni83qMPCsfXqhGDo88Q,Little Girl Blue,Doris Day,1948,1940,13.0,0,0.133,0.0393,0.209,0.958,0.00867,0.0383,-0.6190171156469885,0.19001561969387054,-0.10695636726127343
71wQFFfwH5L0R5SjK30aXW,71wQFFfwH5L0R5SjK30aXW,The Christmas Tree Angel,The Andrews Sisters,1951,1950,28.0,0,0.142,0.545,0.527,0.922,0.0,0.0561,-0.43314936568545,0.3919443929381697,0.7430906412075113
1SzFWRRcrw4nXQyDZb4RAw,1SzFWRRcrw4nXQyDZb4RAw,Slipknot (Freestyle),Ouija Macc,1951,1950,8.0,1,0.293,0.295,0.488,0.153,0.00216,0.501,0.16890172764528746,0.059645075430582964,0.8759961852502041
6yUAjTaVwh1qPyQecmw5Fj,6yUAjTaVwh1qPyQecmw5Fj,Earl's Breakdown (with The Foggy Mountain Boys) - 78rpm Version,"Lester Flatt, Earl Scruggs, The Foggy Mountain Boys",1951,1950,7.0,0,0.65,0.973,0.391,0.232,0.8079999999999999,0.0308,0.1130340062805935,-0.5616980137021176,1.894344980070539
2ynGfwePiLptW599QebWbr,2ynGfwePiLptW599QebWbr,Lullaby Of The Leaves,Gerry Mulligan Quartet,1952,1950,35.0,0,0.182,0.524,0.44,0.967,0.901,0.0427,-0.7915884725885299,-0.3690766700159401,0.6548972078472074
1hwRl3b0RGexUjpYuRyKHX,1hwRl3b0RGexUjpYuRyKHX,I'm Sitting On Top Of The World,"Les Paul, Mary Ford",1953,1950,16.0,0,0.5539999999999999,0.787,0.75,0.5479999999999999,0.0321,0.0375,0.12139090734621852,0.242928947223685,1.8153439616808569
0pZgGof2cGBF3mBdRnyABg,0pZgGof2cGBF3mBdRnyABg,Temptation,Charlie Parker,1953,1950,15.0,0,0.373,0.563,0.35700000000000004,0.78,0.596,0.033,-0.44955392872232,-0.24160052448642766,0.8972646126892478
13F8PwZTHnzIFLdZfqMfnY,13F8PwZTHnzIFLdZfqMfnY,Haiti,"Frantz Casseus, Lolita Cuevas",1953,1950,13.0,0,0.011,0.726,0.525,0.987,9.98e-06,0.0765,-0.5084930119595509,0.4986612404919783,0.7531780956624193
